RMS Current (A),RMS Voltage (V),Load Combinations,%Belt Tension,Power (W),%Power/Nominal_Power,Normalized_Power,Normalized_Belt_Tension,Normalized_Load,Class_3,Class_4,Class_9,NNNormalized_Power,Load,Load1
2.378,237.858,8,95,266,27,0.63,1,0.53,3,4,9,0.46,1,1
2.424,236.992,14,95,278,28,0.81,1,0.93,3,4,9,0.58,3,2
2.131,239.676,0,15,230,23,0.1,0.16,0,1,1,2,0.1,0,1
2.478,237.657,11,95,270,27,0.69,1,0.73,3,4,9,0.5,3,2
2.197,240.599,3,75,245,25,0.32,0.79,0.2,2,2,7,0.25,2,2
2.161,240.861,2,75,241,25,0.26,0.79,0.13,2,2,7,0.21,1,1
2.172,240.74,9,85,242,25,0.28,0.89,0.6,2,3,8,0.22,2,2
2.158,240.161,0,75,240,24,0.25,0.79,0,2,2,7,0.2,0,1
2.178,240.384,1,75,240,24,0.25,0.79,0.07,2,2,7,0.2,1,1
2.091,240.351,0,60,231,24,0.12,0.63,0,1,1,5,0.11,0,1
2.18,240.74,2,85,245,25,0.32,0.89,0.13,2,3,8,0.25,1,1
2.134,239.467,0,0,230,24,0.1,0,0,1,1,1,0.1,0,1
2.403,237.134,8,95,265,27,0.62,1,0.53,3,4,9,0.45,1,1
2.148,239.468,11,75,242,25,0.28,0.79,0.73,2,2,7,0.22,3,2
2.489,237.489,5,95,272,28,0.72,1,0.33,3,4,9,0.52,2,2
2.446,237.381,10,95,273,28,0.74,1,0.67,3,4,9,0.53,2,2
2.16,237.056,14,85,247,25,0.35,0.89,0.93,2,3,8,0.27,3,2
2.163,240.463,12,85,241,25,0.26,0.89,0.8,2,3,8,0.21,2,2
2.176,239.765,15,75,246,25,0.34,0.79,1,2,2,7,0.26,4,2
2.166,237.06,14,85,247,25,0.35,0.89,0.93,2,3,8,0.27,3,2
2.18,240.947,5,85,243,25,0.29,0.89,0.33,2,3,8,0.23,2,2
2.356,236.993,8,95,265,27,0.62,1,0.53,3,4,9,0.45,1,1
2.133,240.407,1,70,234,24,0.16,0.74,0.07,1,1,6,0.14,1,1
2.175,239.681,4,75,242,25,0.28,0.79,0.27,2,2,7,0.22,1,1
2.117,240.521,0,60,233,24,0.15,0.63,0,1,1,5,0.13,0,1
2.47,237.547,10,95,273,28,0.74,1,0.67,3,4,9,0.53,2,2
2.156,240.309,2,75,241,25,0.26,0.79,0.13,2,2,7,0.21,1,1
2.186,240.787,10,75,245,25,0.32,0.79,0.67,2,2,7,0.25,2,2
2.106,238.82,0,15,226,23,0.04,0.16,0,1,1,2,0.06,0,1
2.166,239.688,8,75,239,24,0.24,0.79,0.53,2,2,7,0.19,1,1
2.206,240.338,10,85,245,25,0.32,0.89,0.67,2,3,8,0.25,2,2
2.367,237.267,8,95,263,27,0.59,1,0.53,3,4,9,0.43,1,1
2.366,237.73,8,95,267,27,0.65,1,0.53,3,4,9,0.47,1,1
2.355,237.353,2,95,266,27,0.63,1,0.13,3,4,9,0.46,1,1
2.171,240.534,9,75,241,25,0.26,0.79,0.6,2,2,7,0.21,2,2
2.181,240.425,4,85,244,25,0.31,0.89,0.27,2,3,8,0.24,1,1
2.173,236.861,11,85,240,24,0.25,0.89,0.73,2,3,8,0.2,3,2
2.472,237.416,15,95,280,28,0.84,1,1,3,4,9,0.6,4,2
2.192,236.677,15,85,242,25,0.28,0.89,1,2,3,8,0.22,4,2
2.101,240.532,0,60,233,24,0.15,0.63,0,1,1,5,0.13,0,1
2.166,241.132,9,75,241,25,0.26,0.79,0.6,2,2,7,0.21,2,2
2.18,240.043,4,85,244,25,0.31,0.89,0.27,2,3,8,0.24,1,1
2.156,240.219,1,85,242,25,0.28,0.89,0.07,2,3,8,0.22,1,1
2.159,240.526,8,85,240,24,0.25,0.89,0.53,2,3,8,0.2,1,1
2.199,236.59,15,85,242,25,0.28,0.89,1,2,3,8,0.22,4,2
2.452,237.172,10,95,271,28,0.71,1,0.67,3,4,9,0.51,2,2
2.24,237.169,7,85,248,25,0.37,0.89,0.47,2,3,8,0.28,3,2
2.156,240.005,1,75,241,25,0.26,0.79,0.07,2,2,7,0.21,1,1
2.448,237.269,14,95,279,28,0.82,1,0.93,3,4,9,0.59,3,2
2.452,237.171,12,95,271,28,0.71,1,0.8,3,4,9,0.51,2,2
2.16,236.969,6,85,246,24,0.34,0.89,0.4,2,3,8,0.26,2,2
2.471,237.281,15,95,281,29,0.85,1,1,3,4,9,0.61,4,2
2.429,237.251,14,95,278,28,0.81,1,0.93,3,4,9,0.58,3,2
2.375,237.795,2,95,268,27,0.66,1,0.13,3,4,9,0.48,1,1
2.466,236.865,5,95,269,27,0.68,1,0.33,3,4,9,0.49,2,2
2.55,237.035,13,95,280,28,0.84,1,0.87,3,4,9,0.6,3,2
2.15,240.444,8,85,241,25,0.26,0.89,0.53,2,3,8,0.21,1,1
2.163,237.169,13,85,240,24,0.25,0.89,0.87,2,3,8,0.2,3,2
2.512,237.416,11,95,276,28,0.78,1,0.73,3,4,9,0.56,3,2
2.137,240.511,0,45,236,24,0.19,0.47,0,1,1,4,0.16,0,1
2.128,239.351,0,15,228,23,0.07,0.16,0,1,1,2,0.08,0,1
2.517,237.352,3,95,275,28,0.76,1,0.2,3,4,9,0.55,2,2
2.157,240.114,8,85,240,24,0.25,0.89,0.53,2,3,8,0.2,1,1
2.171,239.968,4,85,244,25,0.31,0.89,0.27,2,3,8,0.24,1,1
2.107,239.005,0,15,228,23,0.07,0.16,0,1,1,2,0.08,0,1
2.193,239.59,14,75,246,25,0.34,0.79,0.93,2,2,7,0.26,3,2
2.129,240.554,8,75,237,24,0.21,0.79,0.53,2,2,7,0.17,1,1
2.128,240.536,1,70,233,24,0.15,0.74,0.07,1,1,6,0.13,1,1
2.497,236.876,11,95,272,28,0.72,1,0.73,3,4,9,0.52,3,2
2.207,240.186,6,75,247,25,0.35,0.79,0.4,2,2,7,0.27,2,2
2.165,240.421,13,75,242,25,0.28,0.79,0.87,2,2,7,0.22,3,2
2.159,237.073,14,85,247,25,0.35,0.89,0.93,2,3,8,0.27,3,2
2.172,240.088,4,85,244,25,0.31,0.89,0.27,2,3,8,0.24,1,1
2.465,236.826,7,95,285,29,0.91,1,0.47,3,4,9,0.65,3,2
2.159,241.176,8,85,240,24,0.25,0.89,0.53,2,3,8,0.2,1,1
2.183,240.414,9,85,242,25,0.28,0.89,0.6,2,3,8,0.22,2,2
2.346,237.437,8,95,264,27,0.6,1,0.53,3,4,9,0.44,1,1
2.394,237.714,4,95,267,27,0.65,1,0.27,3,4,9,0.47,1,1
2.351,237.392,0,95,264,27,0.6,1,0,3,4,9,0.44,0,1
2.161,240.348,12,85,241,25,0.26,0.89,0.8,2,3,8,0.21,2,2
2.158,240.864,12,85,243,25,0.29,0.89,0.8,2,3,8,0.23,2,2
2.5,237.157,6,95,277,28,0.79,1,0.4,3,4,9,0.57,2,2
2.187,240.605,10,75,244,25,0.31,0.79,0.67,2,2,7,0.24,2,2
2.247,237.257,7,85,250,25,0.4,0.89,0.47,2,3,8,0.3,3,2
2.181,241.02,10,75,244,25,0.31,0.79,0.67,2,2,7,0.24,2,2
2.156,237.432,13,85,239,24,0.24,0.89,0.87,2,3,8,0.19,3,2
2.173,240.471,9,85,243,25,0.29,0.89,0.6,2,3,8,0.23,2,2
2.164,237.156,13,85,239,24,0.24,0.89,0.87,2,3,8,0.19,3,2
2.383,237.585,0,95,266,27,0.63,1,0,3,4,9,0.46,0,1
2.178,240.181,4,85,246,25,0.34,0.89,0.27,2,3,8,0.26,1,1
2.187,240.694,10,75,245,25,0.32,0.79,0.67,2,2,7,0.25,2,2
2.408,237.053,9,95,269,27,0.68,1,0.6,3,4,9,0.49,2,2
2.516,237.196,6,95,280,28,0.84,1,0.4,3,4,9,0.6,2,2
2.42,237.025,10,95,274,28,0.75,1,0.67,3,4,9,0.54,2,2
2.157,236.846,14,85,250,25,0.4,0.89,0.93,2,3,8,0.3,3,2
2.166,236.794,6,85,246,24,0.34,0.89,0.4,2,3,8,0.26,2,2
2.162,240.355,4,75,240,24,0.25,0.79,0.27,2,2,7,0.2,1,1
2.187,236.821,15,85,244,25,0.31,0.89,1,2,3,8,0.24,4,2
2.161,237.343,14,85,248,25,0.37,0.89,0.93,2,3,8,0.28,3,2
2.191,239.99,6,75,246,25,0.34,0.79,0.4,2,2,7,0.26,2,2
2.402,236.904,9,95,269,27,0.68,1,0.6,3,4,9,0.49,2,2
2.4,237.321,10,95,272,28,0.72,1,0.67,3,4,9,0.52,2,2
2.169,240.669,0,70,237,24,0.21,0.74,0,1,1,6,0.17,0,1
2.15,240.453,8,75,240,24,0.25,0.79,0.53,2,2,7,0.2,1,1
2.179,240.757,5,85,243,25,0.29,0.89,0.33,2,3,8,0.23,2,2
2.415,237.481,5,95,276,28,0.78,1,0.33,3,4,9,0.56,2,2
2.419,237.011,9,95,268,27,0.66,1,0.6,3,4,9,0.48,2,2
2.244,236.984,7,85,251,26,0.41,0.89,0.47,2,3,8,0.31,3,2
2.159,240.677,2,75,241,25,0.26,0.79,0.13,2,2,7,0.21,1,1
2.495,237.074,3,95,272,28,0.72,1,0.2,3,4,9,0.52,2,2
2.446,236.744,14,95,276,28,0.78,1,0.93,3,4,9,0.56,3,2
2.434,237.392,12,95,274,28,0.75,1,0.8,3,4,9,0.54,2,2
2.17,240.291,1,85,244,25,0.31,0.89,0.07,2,3,8,0.24,1,1
2.164,237.02,11,85,240,24,0.25,0.89,0.73,2,3,8,0.2,3,2
2.173,240.79,10,85,243,25,0.29,0.89,0.67,2,3,8,0.23,2,2
2.392,236.983,12,95,268,27,0.66,1,0.8,3,4,9,0.48,2,2
2.475,237.249,15,95,285,29,0.91,1,1,3,4,9,0.65,4,2
2.538,237.3,7,95,277,28,0.79,1,0.47,3,4,9,0.57,3,2
2.552,237.245,6,95,280,28,0.84,1,0.4,3,4,9,0.6,2,2
2.129,240.186,0,60,233,24,0.15,0.63,0,1,1,5,0.13,0,1
2.166,240.334,13,75,242,25,0.28,0.79,0.87,2,2,7,0.22,3,2
2.468,237.42,10,95,272,28,0.72,1,0.67,3,4,9,0.52,2,2
2.455,237.227,6,95,276,28,0.78,1,0.4,3,4,9,0.56,2,2
2.204,240.052,6,75,246,25,0.34,0.79,0.4,2,2,7,0.26,2,2
2.164,240.024,1,75,242,25,0.28,0.79,0.07,2,2,7,0.22,1,1
2.122,239.776,0,30,232,24,0.13,0.32,0,1,1,3,0.12,0,1
2.148,240.191,2,75,241,25,0.26,0.79,0.13,2,2,7,0.21,1,1
2.378,238.084,2,95,269,27,0.68,1,0.13,3,4,9,0.49,1,1
2.158,240.476,9,75,241,25,0.26,0.79,0.6,2,2,7,0.21,2,2
2.189,236.912,15,85,242,25,0.28,0.89,1,2,3,8,0.22,4,2
2.168,236.872,11,85,241,25,0.26,0.89,0.73,2,3,8,0.21,3,2
2.107,240.428,0,60,233,24,0.15,0.63,0,1,1,5,0.13,0,1
2.357,237.572,2,95,267,27,0.65,1,0.13,3,4,9,0.47,1,1
2.384,237.715,1,95,266,27,0.63,1,0.07,3,4,9,0.46,1,1
2.171,236.629,6,85,246,24,0.34,0.89,0.4,2,3,8,0.26,2,2
2.196,240.559,3,85,244,25,0.31,0.89,0.2,2,3,8,0.24,2,2
2.193,240.461,3,85,244,25,0.31,0.89,0.2,2,3,8,0.24,2,2
2.472,237.089,5,95,274,28,0.75,1,0.33,3,4,9,0.54,2,2
2.155,239.979,0,85,238,24,0.22,0.89,0,2,3,8,0.18,0,1
2.149,237.185,13,85,239,24,0.24,0.89,0.87,2,3,8,0.19,3,2
2.127,240.41,1,70,234,24,0.16,0.74,0.07,1,1,6,0.14,1,1
2.181,240.542,10,75,244,25,0.31,0.79,0.67,2,2,7,0.24,2,2
2.158,239.741,11,75,240,24,0.25,0.79,0.73,2,2,7,0.2,3,2
2.163,240.186,8,85,240,24,0.25,0.89,0.53,2,3,8,0.2,1,1
2.165,240.489,12,85,241,25,0.26,0.89,0.8,2,3,8,0.21,2,2
2.484,237.347,7,95,283,29,0.88,1,0.47,3,4,9,0.63,3,2
2.151,240.651,2,85,242,25,0.28,0.89,0.13,2,3,8,0.22,1,1
2.171,240.326,12,85,243,25,0.29,0.89,0.8,2,3,8,0.23,2,2
2.206,240.444,10,75,244,25,0.31,0.79,0.67,2,2,7,0.24,2,2
2.372,237.47,2,95,267,27,0.65,1,0.13,3,4,9,0.47,1,1
2.377,237.123,8,95,265,27,0.62,1,0.53,3,4,9,0.45,1,1
2.479,237.102,10,95,272,28,0.72,1,0.67,3,4,9,0.52,2,2
2.173,240.643,0,70,237,24,0.21,0.74,0,1,1,6,0.17,0,1
2.095,239.333,0,0,225,23,0.03,0,0,1,1,1,0.05,0,1
2.157,240.631,9,75,240,24,0.25,0.79,0.6,2,2,7,0.2,2,2
2.397,237.498,5,95,272,28,0.72,1,0.33,3,4,9,0.52,2,2
2.19,236.733,15,85,243,25,0.29,0.89,1,2,3,8,0.23,4,2
2.167,240.485,2,75,241,25,0.26,0.79,0.13,2,2,7,0.21,1,1
2.171,240.773,9,85,242,25,0.28,0.89,0.6,2,3,8,0.22,2,2
2.543,237.461,6,95,279,28,0.82,1,0.4,3,4,9,0.59,2,2
2.487,237.37,15,95,285,29,0.91,1,1,3,4,9,0.65,4,2
2.468,237.259,10,95,271,28,0.71,1,0.67,3,4,9,0.51,2,2
2.473,237.175,7,95,281,29,0.85,1,0.47,3,4,9,0.61,3,2
2.418,237.276,10,95,271,28,0.71,1,0.67,3,4,9,0.51,2,2
2.437,237.312,13,95,276,28,0.78,1,0.87,3,4,9,0.56,3,2
2.178,240.315,4,85,244,25,0.31,0.89,0.27,2,3,8,0.24,1,1
2.474,237.287,12,95,275,28,0.76,1,0.8,3,4,9,0.55,2,2
2.149,240.589,2,75,241,25,0.26,0.79,0.13,2,2,7,0.21,1,1
2.173,240.76,4,85,244,25,0.31,0.89,0.27,2,3,8,0.24,1,1
2.432,237.874,2,95,268,27,0.66,1,0.13,3,4,9,0.48,1,1
2.137,240.116,0,85,236,24,0.19,0.89,0,2,3,8,0.16,0,1
2.159,240.781,9,75,241,25,0.26,0.79,0.6,2,2,7,0.21,2,2
2.161,237.442,13,85,240,24,0.25,0.89,0.87,2,3,8,0.2,3,2
2.451,237.197,10,95,275,28,0.76,1,0.67,3,4,9,0.55,2,2
2.172,239.673,4,75,241,25,0.26,0.79,0.27,2,2,7,0.21,1,1
2.207,239.917,14,75,246,25,0.34,0.79,0.93,2,2,7,0.26,3,2
2.187,240.725,10,85,245,25,0.32,0.89,0.67,2,3,8,0.25,2,2
2.164,237.245,14,85,249,25,0.38,0.89,0.93,2,3,8,0.29,3,2
2.428,236.855,11,95,274,28,0.75,1,0.73,3,4,9,0.54,3,2
2.522,237.05,15,95,279,28,0.82,1,1,3,4,9,0.59,4,2
2.44,237.138,12,95,270,27,0.69,1,0.8,3,4,9,0.5,2,2
2.147,239.588,0,15,233,24,0.15,0.16,0,1,1,2,0.13,0,1
2.469,237.366,3,95,272,28,0.72,1,0.2,3,4,9,0.52,2,2
2.179,240.31,9,85,242,25,0.28,0.89,0.6,2,3,8,0.22,2,2
2.365,237.565,0,95,264,27,0.6,1,0,3,4,9,0.44,0,1
2.178,240.429,9,85,243,25,0.29,0.89,0.6,2,3,8,0.23,2,2
2.153,239.988,2,75,241,25,0.26,0.79,0.13,2,2,7,0.21,1,1
2.374,237.063,9,95,266,27,0.63,1,0.6,3,4,9,0.46,2,2
2.115,240.087,0,45,231,24,0.12,0.47,0,1,1,4,0.11,0,1
2.177,240.603,0,70,239,24,0.24,0.74,0,1,1,6,0.19,0,1
2.515,236.993,6,95,280,28,0.84,1,0.4,3,4,9,0.6,2,2
2.407,236.997,11,95,274,28,0.75,1,0.73,3,4,9,0.54,3,2
2.372,237.51,8,95,265,27,0.62,1,0.53,3,4,9,0.45,1,1
2.494,236.857,14,95,273,28,0.74,1,0.93,3,4,9,0.53,3,2
2.163,240.673,5,75,242,25,0.28,0.79,0.33,2,2,7,0.22,2,2
2.465,236.751,12,95,272,28,0.72,1,0.8,3,4,9,0.52,2,2
2.145,240.297,0,85,238,24,0.22,0.89,0,2,3,8,0.18,0,1
2.172,240.2,15,75,246,25,0.34,0.79,1,2,2,7,0.26,4,2
2.406,236.845,4,95,266,27,0.63,1,0.27,3,4,9,0.46,1,1
2.179,240.65,9,75,242,25,0.28,0.79,0.6,2,2,7,0.22,2,2
2.127,240.542,0,45,233,24,0.15,0.47,0,1,1,4,0.13,0,1
2.432,236.736,7,95,278,28,0.81,1,0.47,3,4,9,0.58,3,2
2.495,236.762,11,95,269,27,0.68,1,0.73,3,4,9,0.49,3,2
2.412,237.463,11,95,273,28,0.74,1,0.73,3,4,9,0.53,3,2
2.483,237.388,6,95,278,28,0.81,1,0.4,3,4,9,0.58,2,2
2.252,237.039,7,85,250,25,0.4,0.89,0.47,2,3,8,0.3,3,2
2.165,239.763,11,75,241,25,0.26,0.79,0.73,2,2,7,0.21,3,2
2.175,240.303,1,75,240,24,0.25,0.79,0.07,2,2,7,0.2,1,1
2.514,236.569,13,95,276,28,0.78,1,0.87,3,4,9,0.56,3,2
2.139,240.024,0,85,239,24,0.24,0.89,0,2,3,8,0.19,0,1
2.162,240.459,12,85,243,25,0.29,0.89,0.8,2,3,8,0.23,2,2
2.182,239.693,4,75,240,24,0.25,0.79,0.27,2,2,7,0.2,1,1
2.176,240.639,1,85,244,25,0.31,0.89,0.07,2,3,8,0.24,1,1
2.427,237.872,2,95,268,27,0.66,1,0.13,3,4,9,0.48,1,1
2.173,236.718,6,85,245,24,0.32,0.89,0.4,2,3,8,0.25,2,2
2.437,237.47,2,95,269,27,0.68,1,0.13,3,4,9,0.49,1,1
2.155,239.997,5,75,242,25,0.28,0.79,0.33,2,2,7,0.22,2,2
2.167,237.077,11,85,242,25,0.28,0.89,0.73,2,3,8,0.22,3,2
2.439,237.234,3,95,277,28,0.79,1,0.2,3,4,9,0.57,2,2
2.422,237.523,5,95,274,28,0.75,1,0.33,3,4,9,0.54,2,2
2.17,236.795,11,85,242,25,0.28,0.89,0.73,2,3,8,0.22,3,2
2.161,237.312,14,85,250,25,0.4,0.89,0.93,2,3,8,0.3,3,2
2.155,240.874,8,85,240,24,0.25,0.89,0.53,2,3,8,0.2,1,1
2.164,240.221,2,85,243,25,0.29,0.89,0.13,2,3,8,0.23,1,1
2.497,237.455,11,95,273,28,0.74,1,0.73,3,4,9,0.53,3,2
2.141,239.255,0,15,232,24,0.13,0.16,0,1,1,2,0.12,0,1
2.178,240.726,9,75,242,25,0.28,0.79,0.6,2,2,7,0.22,2,2
2.162,236.901,11,85,240,24,0.25,0.89,0.73,2,3,8,0.2,3,2
2.545,236.846,7,95,280,28,0.84,1,0.47,3,4,9,0.6,3,2
2.438,237.193,14,95,278,28,0.81,1,0.93,3,4,9,0.58,3,2
2.177,240.281,14,75,244,25,0.31,0.79,0.93,2,2,7,0.24,3,2
2.161,240.411,8,85,240,24,0.25,0.89,0.53,2,3,8,0.2,1,1
2.379,237.354,1,95,266,27,0.63,1,0.07,3,4,9,0.46,1,1
2.171,240.422,1,75,240,24,0.25,0.79,0.07,2,2,7,0.2,1,1
2.198,237.139,15,85,242,25,0.28,0.89,1,2,3,8,0.22,4,2
2.468,236.814,3,95,271,28,0.71,1,0.2,3,4,9,0.51,2,2
2.19,240.799,3,85,244,25,0.31,0.89,0.2,2,3,8,0.24,2,2
2.482,237.228,10,95,273,28,0.74,1,0.67,3,4,9,0.53,2,2
2.405,237.038,10,95,270,27,0.69,1,0.67,3,4,9,0.5,2,2
2.104,238.883,0,15,226,23,0.04,0.16,0,1,1,2,0.06,0,1
2.402,237.261,8,95,264,27,0.6,1,0.53,3,4,9,0.44,1,1
2.174,240.542,1,75,240,24,0.25,0.79,0.07,2,2,7,0.2,1,1
2.435,237.623,5,95,271,28,0.71,1,0.33,3,4,9,0.51,2,2
2.508,237.431,15,95,282,29,0.87,1,1,3,4,9,0.62,4,2
2.166,240.755,1,85,244,25,0.31,0.89,0.07,2,3,8,0.24,1,1
2.167,240.649,9,75,242,25,0.28,0.79,0.6,2,2,7,0.22,2,2
2.155,240.679,8,85,240,24,0.25,0.89,0.53,2,3,8,0.2,1,1
2.177,240.532,10,75,245,25,0.32,0.79,0.67,2,2,7,0.25,2,2
2.128,240.196,0,45,233,24,0.15,0.47,0,1,1,4,0.13,0,1
2.173,241.001,10,85,242,25,0.28,0.89,0.67,2,3,8,0.22,2,2
2.187,240.698,9,85,243,25,0.29,0.89,0.6,2,3,8,0.23,2,2
2.172,240.498,10,85,244,25,0.31,0.89,0.67,2,3,8,0.24,2,2
2.488,237.229,14,95,279,28,0.82,1,0.93,3,4,9,0.59,3,2
2.342,237.353,8,95,265,27,0.62,1,0.53,3,4,9,0.45,1,1
2.161,237.326,14,85,248,25,0.37,0.89,0.93,2,3,8,0.28,3,2
2.167,240.144,0,70,239,24,0.24,0.74,0,1,1,6,0.19,0,1
2.142,240.18,1,85,241,25,0.26,0.89,0.07,2,3,8,0.21,1,1
2.459,237.175,14,95,280,28,0.84,1,0.93,3,4,9,0.6,3,2
2.162,240.363,8,85,240,24,0.25,0.89,0.53,2,3,8,0.2,1,1
2.096,240.273,0,60,232,24,0.13,0.63,0,1,1,5,0.12,0,1
2.177,240.383,4,85,246,25,0.34,0.89,0.27,2,3,8,0.26,1,1
2.164,240.159,1,75,241,25,0.26,0.79,0.07,2,2,7,0.21,1,1
2.202,240.687,3,75,246,25,0.34,0.79,0.2,2,2,7,0.26,2,2
2.546,237.514,3,95,277,28,0.79,1,0.2,3,4,9,0.57,2,2
2.178,237.708,13,85,240,24,0.25,0.89,0.87,2,3,8,0.2,3,2
2.16,240.157,8,85,240,24,0.25,0.89,0.53,2,3,8,0.2,1,1
2.181,240.919,10,75,245,25,0.32,0.79,0.67,2,2,7,0.25,2,2
2.396,237.386,1,95,266,27,0.63,1,0.07,3,4,9,0.46,1,1
2.171,240.511,9,75,241,25,0.26,0.79,0.6,2,2,7,0.21,2,2
2.531,237.029,15,95,279,28,0.82,1,1,3,4,9,0.59,4,2
2.421,237.277,3,95,271,28,0.71,1,0.2,3,4,9,0.51,2,2
2.196,237.251,15,85,245,25,0.32,0.89,1,2,3,8,0.25,4,2
2.176,237.223,13,85,239,24,0.24,0.89,0.87,2,3,8,0.19,3,2
2.161,239.88,7,75,244,25,0.31,0.79,0.47,2,2,7,0.24,3,2
2.17,240.383,1,85,243,25,0.29,0.89,0.07,2,3,8,0.23,1,1
2.212,239.745,14,75,246,25,0.34,0.79,0.93,2,2,7,0.26,3,2
2.409,236.971,9,95,267,27,0.65,1,0.6,3,4,9,0.47,2,2
2.192,240.078,3,75,245,25,0.32,0.79,0.2,2,2,7,0.25,2,2
2.521,236.984,13,95,277,28,0.79,1,0.87,3,4,9,0.57,3,2
2.182,240.264,6,75,246,25,0.34,0.79,0.4,2,2,7,0.26,2,2
2.181,240.224,0,70,238,24,0.22,0.74,0,1,1,6,0.18,0,1
2.486,236.915,6,95,278,28,0.81,1,0.4,3,4,9,0.58,2,2
2.409,237.083,4,95,266,27,0.63,1,0.27,3,4,9,0.46,1,1
2.192,237.149,15,85,243,25,0.29,0.89,1,2,3,8,0.23,4,2
2.157,240.604,9,75,240,24,0.25,0.79,0.6,2,2,7,0.2,2,2
2.161,237.129,13,85,240,24,0.25,0.89,0.87,2,3,8,0.2,3,2
2.471,236.926,6,95,276,28,0.78,1,0.4,3,4,9,0.56,2,2
2.418,237.052,9,95,269,27,0.68,1,0.6,3,4,9,0.49,2,2
2.169,240.083,13,75,242,25,0.28,0.79,0.87,2,2,7,0.22,3,2
2.183,237.179,15,85,243,25,0.29,0.89,1,2,3,8,0.23,4,2
2.166,240.101,15,75,246,25,0.34,0.79,1,2,2,7,0.26,4,2
2.12,240.649,1,70,233,24,0.15,0.74,0.07,1,1,6,0.13,1,1
